Country,Geographic_region,Private_company,End_target,End_target_year,Status_of_end_target,Interim_target,Interim_target_year,GHGs_covered,Scope_1_coverage,Scope_2_coverage,Published_plan,Reporting_mechanism,Accountability_delivery,Carbon_credits,Separate_removal_target,Planning_removals,Historical_emissions,Race_to_zero_member,Industry,log_revenue,log_employees,Scope_3_coverage
CHN,East Asia,No,Carbon neutral(ity),2030.0,In corporate strategy,No target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Not Specified,No,Not Specified,No,Yes,Services,25.13502116235473,11.593924638161676,Yes
GBR,Europe,No,Net zero,2050.0,In corporate strategy,Emissions intensity target,2025.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Yes,No,Yes (nature-based and CCS-based removals),No,No,Fossil Fuels,26.37147569854275,11.552155793461898,Yes
USA,North America,No,No target,2050.0,In corporate strategy,No target,2030.0,Not Specified,Yes,Yes,No,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,No,Services,22.355247714010947,8.149312843635345,Partial
CHN,East Asia,No,No target,2050.0,In corporate strategy,No target,2030.0,Not Specified,Not Specified,Not Specified,No,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,No,Infrastructure,25.04931718115643,11.78917746228709,Not Specified
USA,North America,No,Emissions reduction target,2030.0,In corporate strategy,No target,2030.0,Carbon dioxide only,Yes,Yes,Yes,Annual reporting,Yes,Not Specified,No,Not Specified,No,No,Materials,23.86309845451745,11.06665398721974,Partial
USA,North America,No,Net zero,2050.0,In corporate strategy,Emissions intensity target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Not Specified,Yes,No,Not Specified,No,Yes,Services,24.761040047697755,11.009274044952239,Partial
SWE,Europe,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Not Specified,No,Not Specified,No,Yes,Services,23.628799842636973,9.917538375758788,Yes
USA,North America,No,Net zero,2050.0,In corporate strategy,Net zero or similar,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Yes,No,Not Specified,No,Yes,Services,25.15883323856017,12.206077645517674,Yes
GBR,Europe,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2033.0,Carbon dioxide and other GHGs,Yes,Yes,No,Annual reporting,Yes,No,No,Not Specified,No,No,Materials,23.328840246533247,10.62135173563291,Yes
USA,North America,Yes,Net zero,2050.0,In corporate strategy,Emissions reduction target,2025.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Not Specified,No,Not Specified,No,No,"Food, beverage & agriculture",24.529928326738954,11.775297421715827,Yes
FRA,Europe,No,Emissions reduction target,2030.0,In corporate strategy,No target,2030.0,Carbon dioxide only,Yes,Yes,Yes,Annual reporting,Not Specified,Yes,No,Yes (unspecified),No,Yes,Materials,23.521095801800367,10.094273187742212,Yes
JPN,East Asia,No,Emissions reduction target,2030.0,In corporate strategy,No target,2030.0,Not Specified,Yes,Yes,Yes,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,No,Services,20.175084428366755,7.718240951959316,No
